text,classification
as radios sao controladas por politicos so precisavam do presidente certo pra ganhar o presente muita gente  vai xiar o am tem maior alcance,0
estes politicos ai de brasilia praticamente nenhum tem ficha limpa sao os maiores ladroes do brasil,0
caro presidente temer quando o sr falar em cortar na propria carne por favor comece pelas mordomias dos srs inclusive a aposentadoria do sr previdencia diferenciada para politicos e o primeiro item a ser observado e nao a do empacotador do mercado da esquina nao zombe da minha inteligencia por gentileza   ,0
acordem trouxinhas a casa esta caindo,0
dali ele foi pro panama para acabar de esconder o butim,0
so ha justica para os pobres um pais onde os ricos ficam impune,0
essa esquerda que esta ai nao tem condicoes com linderberg gleisi fatima bezzeratotalmente insanos,0
oposicao a um governo que governa apenas para aelite ,0
rafael dois finalistas da libertadores do ano passado um deles titular da selecao equatoriana o outro futuro camisa  da selecao ambos ja sondados por clubes da europa quem vai dar certo mesmo e o conquinha com  anos e todo bichado kkkkkkkk,0
muito bom depois de doar bilhoes de u na vizinhanca agora foi colher dividendos,0
estamos pertinhos de um milhao de participantes acorda brasil,0
depois de tanto roubar nada melhor do que passear,0
desde que ele contribua e a gente levante a taca ta de boa o flamengo so vai pagar quando ele comecar a jogar mesmo,0
enquanto isso o teori segura a bronca no stf,0
se tite nao se tocar messi vai deitar no paulinhobrasil x,0
superfaturamento de tv e algum senador ou deputado coloca um  no bolso,0
ela ganhou um oreo do  tabare e num milenar ritual esquerdista esta oferecendo ao vento ,0
essa ministra trabalha a menos de  km dos hospitais de base e hran sera que pretende visitar os,0
depois que a russia montar uma base na venezuela o problema vai passar para eles,0
que materia espetacular em grs,0
atencao nova diretoria queremos um time competitivo em   ,0
mais umo povinho idota,0
esse povo nao esta nem ai pro brasil so querem ser contra,0
voce e um brincalhao ,0
kkk voces sao uns comedias,0
os politicos sao o reflexo do povo,0
o dirigente falou alguma mentira,0
dois mundias com uma libertadores ,0
o vitor nastari  voce esta e com a cabeca cheia kkkkkkkkk  imagine   kkkkkkkkkkkkkkkkkkkkkkkkkkkkk,0
desordem e regresso ,0
esse tem um empresario bom,0
ue e o cheirinho que voces estavam sentindo era de que,0
rindo da sua cara com  de desconto na aposentadoria e o seu troco por apoiar golpista ahahahah,0
isso e comum com times pequenos,0
em discurso cristiano declarou para de me secar neto,0
ficam um monte de mocinhas brigando por messi e cr virem homens,0
pare com esse vexame gente deixa este cara de lado,0
preparemse todos corte para concursos publicos poderao colocar seus apadrinhados com altos salarios sem concurso sem verbas para saude educacao e seguranca publica  aguardem aumento de assaltos para reduzir gastos bastaria fazer cortes nos altos salarios de cargos comissionados sem concurso e beneficios dos gestores,0
finalmente chegou  a hora de trabalhar pra ter as coisas nesse pais ja estava me sentindo um trouxa de trabalhar pra poder comprar minhas coisas ,0
torra se absurdo com politicos militares judiciario e o problema e o velhinho que com  pega um salario minimo,0
jhalim rabei ate fiquei assustado comecei a ler seu comentario pensei que ele connorlevava os meninos para tras da escola e dava a bunda para eles kkkkkkk,0
essa  muie nem drome nem da cuie nem brinca em fiuvicocuidado,0
realmente  mais o brasil  tem que muda essa situacao  se nao   nunca saira desse  mar de lama  ,0
deve ganhar o premio fifa foi o melhor da temporada,0
muita denuncia e pouca acao ,0
romariogtronaldogtzidanegtmessigtronaldinhogtcr,0
dinheiro a gente pega com quem tem nao com quem ta quebrado,0
fafa e daqueles  alunos que eram zuados na escola por isso paga de revoltadinho na internet ,0
eta dra carmem lucia a senhora esta se saindo uma grande marqueteira,0
sempre a admirei agora mais ainda      bela atitude  ,0
sai armario na mesma velocidade em que baixa a qualidade de seu futebol,0
o senado um das instituicoes mas caras e inuteis do pais votando o corte de gastos dos outros os deles naobando de ladravazes do erario,0
eles torcem quanto pior melhor,0
voce sabe quais os atos enriquecem o curriculo de um bandido entao esta explicado,0
o golpe dela rosana pra se reileita se chama bolsa familia,0
eu voto em quem ele indicar,0
santos kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk torcidinha cabe em uma kombi kk,0
porque nao vai visitar as familias das vitimas desses criminosos ,0
so pela metade voce esta sendo bem otimista,0
que lindinho esse moco com esse oculos,0
nao e maconha    e canabis  seja mais elegante  neste caite,0
nao importa de qual partido e a bandidagem e sistemica enquanto ficarmos discutindo pardidarismo e comporativismo o combate a corrupcao sempre sera velado forro privilegiado em pais com alto nivel de corrupcao e uma afronta a etica e a moral,0
cortar na carne do povo isso sim pq os autos salarios e as mordomias nao entram no limite de pec da maldadefora temer,0
por que essa revolta anderson sua familia esta presa,0
quem nasceu para ser  a  jamais sera junior baiano ,0
teve uma hora para responder e nao achou nada claro  nao existe ditadura eficiente,0
votaremos em quem quisermos o voto e livre se vc nao gosta problema o seu,0
thiago santos eh melhor q gabriel fernandinho e cirino juntos pq o garoro n joga,0
e tome dinheiro pra industria da seca,0
nossa que coisa relevante a mulher dele e voluntaria,0
sr presidente o brasil esta ao seu lado que venham as reformas chega de mimimi e vamos trabalhar,0
por que a excelentissima ministra nao visita a familia das vitimas  ,0
a quanto tempo voces nao disputa uma libertadores,0
roubalheira entao governo oriundo de roubalheira e ladrao tambem eleicoes ja,0
pelo menos a esquerda uruguaia nao roubou o mojica ainda ta de fusca,0
sempre uma varzea time pequeno e assim mesmo,0
devia e ficar o damiao e sair o inutil do guerrero chorao,0
a corrupcao e o cupim que corroi a democracia e as instituicoes  ,0
ficou mal ela ser recebida pelo presidente do uruguai fora de padrao,0
boca mole e bolso e contas bancarias abarrotadas de dolares sahfado,0
dl nem sei o que e melhor nigeria ou venezeruela,0
os poderes estao  preocupados com bandidos  que tem de tudo que o cidadao onesto e renegado,0
e a roubalheira continua esses sao profissionais,0
estamos pertinhos de um milhao de participantes acorda brasil,0
mas o juiz e os dois bandeirinhas que garantiram mais um roubo estao acertados pra ,0
por que nao implantar o imposto sobre grandes fortunas por que nunca se audita a divida que de forma ilogica so aumenta apesar do aumento da arrecadacao,0
a pec do mal comeca esta semana o fim de nosso pais ,0
fiquei chocado com essa noticia,0
time de um gol so muiuta sorte,0
kkkkk aqui so tem ze mane que ta na guerra fria ate hoje,0
bernardo cabas   os deputados federais ja estao se movimentando para anistiarem o caixa dois que existe ate os dias de hoje so querem condenacoes daqui por diante estao quebrando a espinha dorsal da lava a jato que e a delacao premiada,0
base  com ze nao tem vez so jogo la medalhao e jogador de empresario politica dinheiro no bolso ,0
futebol argentino e uma piada  so pancadaria e confusao           ,0
cortarsea  a propria carne   a propria carne dos outros nao a deles ,0
essa velha deveria passear menos e agir mais ate agora so conversa,0
kkkkkk,0
isso ai e a materia ou so o titulo kd o resto,0
quem apoia ladrao,0
 indiciacoes em  semana ja pode pedir musica,0
a bixaria coxa ta no desespero ,0
depois dessa visita o tabare vasquez nao ganha eleicao nem para sindico de predio,0
o que esta oposicao esta conseguindo e atrair para si e para os proximos e o odio dos eleitores ,0
quem que era mesmo o homem mais honesto do brasil,0
enquanto isso o palmeiras continua sem mundial,0
a pec corta a carne do povo porque a dos politicos estao intactas os salarios deles aumentam regalias continuam desvios de dinheiro tambem continuam enquanto a lava jato nao detectar eles e por ai vai bem vindo ao brasil e politicos farinha do mesmo saco onde todas as eleicoes o povo procuram eles para vender o voto e os politicos nao fazer o voto ficar optativo pois prejudicaria eles no que tange a se elegerem comprando votos e manipulando o povo sempre burro sem educacao saude e tudo que temos direito,0
nao vejo  ir visitar hospitais com criancas idosos e trabalhadores nas linhas finas,0
rosana a sua revolta e devido a falta de mortadela ,0
nao acho nada demais nesse cueva so faz gol de penalty,0
porque nao reduz os salarios milionarios de toda a classe politica  porque nao  nao cria uma lei em que todos os politicos arquem com suas despesas  porque nao acaba com o foro privilegiado de parlamentares porque nao cria mecanismos pra colocar os corruptos na cadeia e fazer com que devolvam o que roubaram ,0
contrato de  anos esses clubes sao loucos  anos no maximo,0
o gilmar mendespsdb vai ficar com ciumesela esta querendo aparecer mais que ele,0
e preciso reduzir e muito o custo brasilia   reducao de privilegiosreducao numero de deputados e senadoresreduzir numero de instancias recursais no judiciario    ,0
gosto delano stf e a unica que sabe o que diz e entende o que escuta,0
quem gera a riqueza de uma nacao e o trabalhador politicos e funcionarios publicos nao geram riqueza eles se utilizam dela e no caso do brasil roubam mesmo e podem inventar medidas que se nao parar a corrupcao o pais nao mudara nada so vai piorar,0
hahahahahahahahaa hahahahahaha e uma piada esse cara ,0
olha os caras fazendo algo de util e de interesse publico,0
quando ele sera preso ,0
com certeza essa lista contem  de politicos  lamentavel,0
pesquise e participe consulta publica  pec ,0
tomara que esteja certo colega,0
fazer o que por culpa suas se tivesse leis severas estavam vazios,0
em pontos corridos nao tem jogador adversario escorregando com o gol escancarado rajkazblanks ,0
me diga uma acao publica que nao tem fraudes neste pais a desconfianca e tao grande que fico querendo saber que e a pessoa de forro privilegiado que esta por traz deste esquema,0
muitas denuncias muitas provas e pouca cadeia ,0
aposto que ainda vai ser o presidente da camara,0
porque este robozinho fica buscando o q nao deve pra censurar o q precisa ele nao elimina,0
nao entendi a colocacao podre  onde  pais  nao e no pais,0
talvez luiz vc nao seja bom o bastante para tirar uma nota boa e fica de mimi eu entrei atraves do enem e to de boa estudando sem nenhuma conspiracao kk,0
ate agora so cortou o acem porque o file mignon continua nadando de bracada,0
o que  assinaturas a maioria de laranjas o resto nao sabe nem por que assinou,0
pior cego e o burro,0
o culpado pela perda do titulo e o mesmo pela briga pelo titulo kk via entender  ,0
nao a pizza anunciada de anistia do caixa  sim a divulgacao da lista da odebrecht,0
em filmes e novelas a culpa e sempre do mordomo,0
o cara foi foda,0
farra do boi  logo logo vai ter mais um pedindo anistiasabe quem e ne  faz me rir,0
tem tonto que acredita nessa palhacada vai cortar apenas do pobre que necessitada de saude e educacao do governo esta pra ser aprovado a terceirizacao esse mes  e vao aprovar o caixa  para que as delacoes da  odebrecht poderem ser realizadas e nao punirem os imundos,0
rlx  neymar ja ta bem treinado pelo barca  so chegar e vesti o uniiforme ,0
sonia o cartao corporativo do seu presidente ja bateu a casa dos r  milhoes em  meses,0
isso mesmo nao tinha pensado nisso mas e uma hipotese plausivel,0
esse partido chamado p t e esse p sol sao uma doenca pra nossa nacao um enfermo,0
to ligado por isso os gastos dos cartoes corporativos e a utilizacao dos avioes da fab  subiram esse corta na carne mesmo ,0
quem ja viu bandidos fazendo leis contra anticorrupcao ,0
e verdade mas apesar de acha que essas pesquisas sao furadas,0
libera rapido antes que os turcos desistam,0
o tecnico e bom o time que e ruim ,0
se o seu dinheiro for fruto de corrupcao vc devera ser preso sim ,0
piada super engracada ja pensou em fazer um teste pro zorra total ,0
e aqui toma  em um jogo so o cara e muito ruim,0
esse e o caminho do crescimento,0
gostei das mudancas novas estrategias,0
cortar na propria carne e reduzir o no de deputados federais e senadores e seus gabinetes com aa consequente reducao de mordomias,0
e o fim desisto do meu pais ,0
atras so do robinho e do fred campeoes da copa do brasil ,0
vai no ceminterio esta mais lotado cheio de inocentes mortos pelas maos desses vermes,0
pois e quando estavam la nao fizeram nada de bom alem de distribuir dinheiro disfarcado de bolsa familia e outras coisas nesse sentido educacao  otima saude otima  isso ja  melhor do que distribuir dinheiro ,0
resumiu bem a opera,0
nao vi corte algum deixar de gastar nao e cortar,0
para quem nao entende existe sim a transmissao de radio am aindaem cidades pequenas nos locais mais afastados das capitais  onde fm nao chega nem com chiadosa am chega ruim mas cheganos  cantoes deste brasilzao  so am chega e com muita palha de aco nas anteninhasagora esse povo pode ficar sem este entretenimentopois tv analogica sempre foi luxo a tv digital sera utopiaagora sem amserao isolados  ate de informacoestudo que eles queriam quem sabe,0
putskkkkkde grande relevancia e importanciakkkkkkk,0
quando foi isso,0
tem que congelar e o salario dos politicos pois  sao nefastos  para a nacao,0
lamentavel mais eu garanto que em  meu voto e do luiz inacio messias da silva,0
santa hipocrisia batman manda ela visitar hospitais publicos para ver se estao superlotados,0
saudade do otamendi ele e gabriel seriam uma dupla de zaga sensacional,0
excelente jogador  sera titular ao lado do jo,0
o empresario desse rapaz e simplesmente magico,0
indiciam e denunciam mas nao prendem,0
nem messi nem cristiano vao dormir hoje preocupados com o que vcs acham deles tontos,0
essa mulher faz cada coisa,0
estao perdidinhos nem anotaram a placa do caminhao que atropelou a petebada em outubro,0
mas nao vai ter um tupamaro ja foi tirado do poder ela aki nao forma,0
o governo nao tem e nem pode ter carne a carne que estao cortando e do povo via deservicos publicos ,0
aceita que a boquinha acabou doi menos  vermelho so o ketchup,0
que diferenca faz ,0
infelizmentehoje em dias e melhor ser arruaceiro e agitador no brasil do que ser trabalhador honesto,0
esse e o meu presidente que venham as reformas e vamos trabalhar chega de mimimi ,0
sempre os mesmos nao bastou afundarem o brasil e querem mais,0
ele vai ser o pior presidente da historia,0
fundo do poco mesmo,0
uma visita aos familiares vitimados por essa escoria sera louvavel,0
para ele que tem varias aposentadorias nem vai sentir o corte   kkkkkkkkkkkk,0
pesquise e participe consulta publica  pec ,0
sera que foi sabotagem,0
nao e afoito nao contra o cruz foi muito paciente atraindoo para trocacao franca so deu blitz contra os adversarios anteriores contra quem tinha grande confianca nao sem motivo de que botaria para dormir,0
so com conviccao nao se prende ninguem ,0
ainda precisa de centroavante e lateral esquerdo,0
o cara e bom joga muito,0
quando sera a visita aos hospitais  publico do df,0
virou bagunca ,0
mano na boa como eu sabia a ronaldete nao tem argumentos,0
ele nao e presidente  e golpista,0
bem lembrado marcos alves  essa pec e muito importante para a tao sonhada reforma politica eu ja participei  ,0
tem que colocar pena de morte ai vai diminuir bastante,0
vamos cortar os gastos publicos vamos cortar todos os funcionarios de confianca indicados por politicos vamos cortar todos os funcionarios de alto escalao indicados pelo governo sem concurso publicos e sem capacitacao tecnica adequada vamos cortar a quantidade de politicos,0
marcos e eu que achava que politica era  uma ferramenta de transformacao quato engano,0
aecio e o unico capaz de transformar este pais,0
se depender do stf manda soltar todo mundoe com aposentadoria ainda por cima,0
e quando essa imoralidade vai ter fim ate quando trabalhadores vao ter que sustentar parasitas,0
paulo bertazzi  o que voce quer e uma ditadura de novo,0
joga muito,0
cite amigo esquerdopata uma linha onde defendo quem quer que seja uma so,0
nao tiro um real do orcamento geral pra destinar a presidio com tanta falta em hospital ,0
eu quero ver os batedores de panela e piscadores de luz de varanda quero ver bem a cara deles,0
aha ta bom vou acreditar mentirinha nao acredito nao ,0
seja bem vindo que faca um bom trabalho,0
para vai saulo mim esses presos que estao la sao os mais perigosos do brasil,0
nao quer ficar em uma cela superlotada nao roube trabalhe honestamente garanto que isso nao vai ser problema,0
o fato e que nao ha um politico honesto no brasil,0
ja nao ta jogando mais nada hj em diaimagina em ,0
enquanto isso seus ministros fazem farra com dinheiro publico,0
essa modinha de rivalidade os  sao excelentes jogadores pronto,0
ilegitimo foi vc que votou no temer eu votei aecio quem colocou seu presidento no poder foi vc,0
pra que ele iria fazer isso kkk pra que um politico iria ser contra politicos receberem muito,0
corinthians o melhor aluno do enem enemlibertadores enempaulista enembrasileirao enemcopa do brasil,0
idiotao e quem e o sabidao,0
vc e chacota bi da b sem mundial kkk,0
cortando a propria picanha no churrasco de domingo deve ter faltado o churrasqueiro,0
e sera muito bem recebido pelo juiz sergio moro,0
nao existe especialista em economia apenas aquilo que funciona aumentar gastos publicos e exigir da sociedade mais impostos para cobrir os gastos de governo incompetente sao duras e inflexiveis nao podem simplesmente querer aumentar impostos porque nao tem dinheiro pra eles gastar a sociedade tambem precisa de dinheiro pra estimular a economia a sociedade nao consegue pagar mais impostos entao nao podem aumentar os gastos,0
perfeito marcio lembrando que muitos politicos sao donossocios de empresas de plano de saude escolasfaculdadesuniversidades particulares preciso desenhar,0
seria mais interessante ela visitar os hospitais do sus,0
perfeito os garotos da base sao melhores que esses jogadores citados,0
se vier e um otimo reforco,0
deveria  julgar as acoes envolvendo jose serra os  milhoes ninguem fala cade a veja,0
cai na real vascainos segundo da segunda  kkkkkkkkk,0
ela deveria levar o renan calheiros junto com ele mas ele ficaria la mesmo,0
sejam honestos aprovem o projeto original vamos acabar com esta farra no brasil,0
saida pela tangente ou tambem comprando casa,0
a historia desse cara com o moleque que subiu no octagon pra receber o cinturao e muito louca o cara pode ate ser sangue no olho mas o que ele fez pra ajudar o moleque nao e qualquer um que faz,0
reuniao de ex guerrilheiros sabe la o que fizeram ,0
vich todo evento ta caindo luta do card principal  ta na hora do dana comecar a ter substitutos pra esse tipo d situacao q faz tempo q ja deixou de ser inusitada  ,0
padaria do flamengo esta vendendo muito o sonho ja acabou so resta pao ,0
eles tem conforto ate demais sofrimento tem as familias que eles destruiram,0
deve estar verificando a possibilidade de asilo para o lu,0
podiam retirar dos lucros dos bancos ,0
a historia nos ensina a se precaver do futuro a prova a venezuela ainda estao fazendo vitimas para impor a ideologia genocida,0
esses atos uruguaios com a presenca dela e  importante tanto quanto o preco da banana em monaco,0
tabarez digame com quem andas e te direi quem es,0
eu que nao entendi seu edsonda para explicar a duvida melhor,0
coitadinha quer dizer que a pobrezinha foi vitima de um golpe faz um favor e a leva pra casa,0
falando em heranca sao  anos de pec haja heranca pra deixar,0
vao ter que renovar o contrato do sergio ramos ate  tbm,0
o fanatismo nao e uma doenca fisica e nem espiritual mas sim uma doenca da ignoranca e odio   ,0
mas ele so pipoca quando a coisa aperta sempre foi assim,0
