query_number;text;max_expected_size
1;['EFFECTS', 'CALCIUM', 'PHYSICAL', 'PROPERTIES', 'MUCUS', 'PATIENTS'];304
2;['ONE', 'DISTINGUISH', 'EFFECTS', 'MUCUS', 'HYPERSECRETION', 'INFECTION', 'SUBMUCOSAL', 'GLANDS', 'RESPIRATORY', 'TRACT'];304
3;['SALIVARY', 'GLYCOPROTEINS', 'PATIENTS', 'DIFFERENT', 'NORMAL', 'SUBJECTS'];304
4;['LIPID', 'COMPOSITION', 'RESPIRATORY', 'SECRETIONS'];304
5;['MUCUS', 'ABNORMAL'];304
6;['EFFECT', 'WATER', 'THERAPEUTIC', 'AGENTS', 'PHYSICAL', 'PROPERTIES', 'VISCOSITY', 'ELASTICITY', 'SPUTUM', 'BRONCHIAL', 'SECRETIONS', 'PATIENTS'];304
7;['MUCUS', 'GLYCOPROTEINS', 'DEGRADED', 'DIFFERENTLY', 'PATIENTS', 'COMPARED', 'NORMAL', 'SUBJECTS'];304
8;['HISTOCHEMICAL', 'DIFFERENCES', 'DESCRIBED', 'NORMAL', 'RESPIRATORY', 'EPITHELIA'];304
9;['ASSOCIATION', 'LIVER', 'DISEASE', 'CIRRHOSIS', 'VITAMIN', 'METABOLISM'];304
10;['ROLE', 'VITAMIN', 'THERAPY', 'PATIENTS'];304
11;['DIFFERENCE', 'MECONIUM', 'ILEUS', 'MECONIUM', 'PLUG', 'SYNDROME'];304
12;['ABNORMALITIES', 'AMINO', 'ACID', 'TRANSPORT', 'DESCRIBED', 'SMALL', 'BOWEL', 'PATIENTS'];304
13;['CLINICAL', 'BIOCHEMICAL', 'FEATURES', 'PANCREATITIS', 'PATIENTS'];304
14;['NON', 'INVASIVE', 'TESTS', 'PERFORMED', 'EVALUATION', 'EXOCRINE', 'PANCREATIC', 'FUNCTION', 'PATIENTS'];304
15;['HEPATIC', 'COMPLICATIONS', 'MANIFESTATIONS'];304
16;['GASTROINTESTINAL', 'COMPLICATIONS', 'NEONATAL', 'PERIOD', 'EXCLUDE', 'LIVER', 'DISEASE', 'MECONIUM', 'ILEUS'];304
17;['EFFECTIVE', 'REGIMEN', 'USE', 'PANCREATIC', 'ENZYME', 'SUPPLEMENTS', 'TREATMENT', 'PATIENTS'];304
18;['DIETARY', 'SUPPLEMENTATION', 'BILE', 'SALTS', 'THERAPEUTIC', 'BENEFIT', 'PATIENTS'];304
19;['COMPLICATIONS', 'PANCREATIC', 'ENZYME', 'THERAPY', 'REPORTED', 'PATIENTS'];304
20;['EFFECT', 'TREATMENT', 'PATIENTS', 'ESSENTIAL', 'FATTY', 'ACID', 'SUPPLEMENTS'];304
21;['PANCREATIC', 'INSUFFICIENCY', 'PATIENTS', 'AFFECT', 'ABILITY', 'ABSORB', 'METABOLIZE', 'IRON'];304
22;['FREQUENCY', 'NON', 'CAUCASIAN', 'POPULATIONS'];304
23;['CONGENITAL', 'HEREDITARY', 'DISEASES', 'CONDITIONS', 'FOUND', 'ASSOCIATION'];304
24;['CHARACTERISTICS', 'PATIENTS', 'INCOMPLETELY', 'MANIFESTED'];304
25;['EVIDENCE', 'GENETIC', 'BASIS', 'INVOLVES', 'ONE', 'GENE'];304
26;['HETEROZYGOTE', 'ADVANTAGE'];304
27;['CONCORDANCE', 'CLINICAL', 'BIOCHEMICAL', 'MANIFESTATIONS', 'SIBLING', 'PAIRS'];304
28;['INCIDENCE', 'MALE', 'FERTILITY'];304
29;['PATHOLOGY', 'REPRODUCTIVE', 'SYSTEM', 'MALE', 'FEMALE'];304
30;['RESULTS', 'GENETIC', 'COUNSELING', 'FAMILIES', 'CHILDREN'];304
31;['MAJOR', 'PSYCHOLOGICAL', 'SOCIAL', 'EFFECTS', 'PATIENTS', 'FAMILIES'];304
32;['FACTORS', 'INFLUENCE', 'COMPLIANCE', 'PRESCRIBED', 'THERAPY', 'PATIENTS'];304
33;['CONDITIONS', 'FACTORS', 'LEAD', 'ERRONEOUS', 'SWEAT', 'TESTS'];304
34;['ALTERNATIVE', 'TECHNIQUES', 'CLASSICAL', 'GIBSON', 'COOKE', 'QUANTITATIVE', 'PILOCARPINE', 'IONTOPHORESIS', 'TEST', 'TITRIMETRIC', 'ANALYSIS', 'CHLORIDE', 'AVAILABLE', 'SWEAT', 'TESTING', 'RELATIVE', 'ADVANTAGES', 'DISADVANTAGES'];304
35;['PATIENT', 'FOUND', 'CONSISTENTLY', 'NORMAL', 'SWEAT', 'TESTS'];304
36;['CONCENTRATION', 'POTASSIUM', 'SWEAT', 'PATIENTS'];304
37;['TECHNIQUES', 'AVAILABLE', 'SCREENING', 'NEWBORN', 'INFANTS', 'FACTORS', 'CONTRIBUTE', 'ERRONEOUS', 'RESULTS', 'TESTS'];304
38;['DIAGNOSED', 'PRENATALLY'];304
39;['MAY', 'HETEROZYGOTES', 'IDENTIFIED'];304
40;['SWEAT', 'TEST', 'TECHNIQUES', 'MAY', 'USEFUL', 'BEYOND', 'NEONATAL', 'PERIOD', 'DIAGNOSIS'];304
41;['VITAMIN', 'METABOLISM', 'NORMAL', 'PATIENTS'];304
42;['ABNORMALITIES', 'INSULIN', 'SECRETION', 'INSULIN', 'METABOLISM', 'OCCUR', 'PATIENTS'];304
43;['SALT', 'SODIUM', 'CHLORIDE', 'TRANSPORT', 'PERMEABILITY', 'ABNORMAL'];304
44;['STRUCTURAL', 'ENZYMATIC', 'DIFFERENCES', 'FIBROBLASTS', 'PATIENTS', 'NON', 'PATIENTS'];304
45;['ABNORMALITIES', 'PROSTAGLANDIN', 'METABOLISM', 'DESCRIBED', 'PATIENTS'];304
46;['PROPERTIES', 'ACTIVITY', 'GALACTOSYLTRANSFERASE', 'ENZYMES', 'PATIENTS'];304
47;['DIFFERENCES', 'NORMAL', 'SUBJECTS', 'PATIENTS', 'DESCRIBED', 'FUNCTION', 'METABOLISM', 'HORMONES'];304
48;['FIBROBLASTS', 'PATIENTS', 'GROW', 'NORMAL', 'RATE'];304
49;['RNA', 'METHYLATION', 'POLYAMINE', 'METABOLISM', 'NORMAL', 'PATIENTS'];304
50;['DEFECTS', 'SYNTHESIS', 'METABOLISM', 'CYCLIC', 'NUCLEOTIDES', 'DESCRIBED', 'PATIENTS'];304
51;['CIRCULATING', 'SECRETED', 'FACTORS', 'DESCRIBED', 'PATIENTS', 'FACTORS', 'UNIDENTIFIED', 'BIOLOGICALLY', 'ACTIVE', 'MOLECULES', 'THOUGHT', 'PLAY', 'PATHOGENETIC', 'ROLE', 'CYSTIC', 'FIBROSIS'];304
52;['KNOWN', 'PROLACTIN', 'PATIENTS'];304
53;['SECRETORY', 'IGA', 'PROTECT', 'PATIENTS', 'BACTERIAL', 'COLONIZATION', 'INFECTION'];304
54;['RELATIONSHIP', 'ALLERGY', 'HYPERSENSITIVITY', 'LUNG', 'DISEASE', 'PATIENTS'];304
55;['INTERACTIONS', 'PROTEASES', 'ENDOGENOUS', 'BACTERIAL', 'ORIGIN', 'ANTIPROTEASES', 'LUNGS', 'PATIENTS'];304
56;['RELATIONSHIP', 'NUTRITION', 'PULMONARY', 'HOST', 'DEFENSES', 'BACTERIAL', 'INFECTION', 'PATIENTS'];304
57;['PATHOPHYSIOLOGIC', 'ROLE', 'CIRCULATING', 'ANTIBODIES', 'PSEUDOMONAS', 'AERUGINOSA', 'PATIENTS'];304
58;['IMMUNOLOGIC', 'RESPONSE', 'PULMONARY', 'INFECTION', 'PATIENTS'];304
59;['IMMUNOLOGIC', 'ABNORMALITIES', 'FOUND', 'PATIENTS'];304
60;['EFFECTS', 'PULMONARY', 'CIRCULATION'];304
61;['DEFECT', 'MUCOCILIARY', 'TRANSPORT', 'CLEARANCE', 'RESPIRATORY', 'TRACT', 'PATIENTS'];304
62;['CLINICAL', 'FEATURES', 'LUNG', 'DISEASE', 'PATIENTS'];304
63;['BIOCHEMICAL', 'MICROSCOPIC', 'CHARACTERISTICS', 'AIRWAY', 'INFLAMMATION', 'PATIENTS'];304
64;['LUNG', 'FUNCTION', 'CHANGE', 'TIME', 'PATIENTS', 'TIME', 'PERIODS', 'GREATER', 'DAY'];304
65;['ABNORMALITIES', 'PULMONARY', 'FUNCTION', 'PATIENTS'];304
66;['PATHOLOGIC', 'FEATURES', 'LUNG', 'DISEASE', 'PATIENTS'];304
67;['PROGNOSIS', 'PATIENTS', 'EPISODE', 'RESPIRATORY', 'FAILURE'];304
68;['EFFECTS', 'BRONCHODILATORS', 'PATIENTS'];304
69;['BEST', 'WAY', 'TREAT', 'PNEUMOTHORAX', 'PATIENTS'];304
70;['TREATMENT', 'PROGNOSIS', 'HEMOPTYSIS', 'PATIENTS'];304
71;['PROGNOSIS', 'INFANTS', 'WHEEZING', 'CYSTIC', 'FIBROSIS'];304
72;['BEST', 'TREATMENT', 'NASAL', 'POLYPS', 'PATIENTS'];304
73;['EFFECTIVE', 'BRONCHIAL', 'LAVAGE', 'PATIENTS'];304
74;['RESULTS', 'MECHANICAL', 'VENTILATION', 'PATIENTS', 'RESPIRATORY', 'FAILURE'];304
75;['BEST', 'TREATMENT', 'PULMONARY', 'HYPERTENSION', 'COR', 'PULMONALE', 'PATIENTS'];304
76;['EFFECTS', 'EXERCISE', 'TRAINING', 'PROGRAMS', 'LUNG', 'FUNCTION', 'PATIENTS'];304
77;['TECHNIQUES', 'EFFECTIVE', 'PROMOTING', 'CLEARANCE', 'MUCUS', 'LUNGS', 'PATIENTS'];304
78;['SPECIAL', 'CONSIDERATIONS', 'TREATMENT', 'PATIENTS', 'ANTIBIOTICS', 'PHARMACODYNAMICS', 'ANTIBIOTICS', 'DIFFERENT', 'PATIENTS', 'SPECIAL', 'PROBLEMS', 'PECULIAR'];304
79;['ROLE', 'ORALLY', 'ADMINISTERED', 'ANTIBIOTICS', 'TREATMENT', 'PATIENTS'];304
80;['EVIDENCE', 'COMBINATION', 'THERAPY', 'AMINOGLYCOSIDES', 'SEMISYNTHETIC', 'PENICILLINS', 'EFFECTIVE', 'THERAPY', 'EITHER', 'ALONE'];304
81;['EFFECTIVE', 'INHALATIONS', 'MUCOLYTIC', 'AGENTS', 'TREATMENT', 'PATIENTS'];304
82;['ROLE', 'AEROSOLS', 'TREATMENT', 'LUNG', 'DISEASE', 'PATIENTS'];304
83;['ROLE', 'BACTERIAL', 'PHAGOCYTOSIS', 'ALVEOLAR', 'MACROPHAGES', 'POLYMORPHONUCLEAR', 'LEUKOCYTES', 'LUNG', 'DISEASE', 'PATIENTS'];304
84;['RELATIONSHIP', 'HAEMOPHILUS', 'INFLUENZAE', 'PSEUDOMONAS', 'AERUGINOSA', 'PATIENTS'];304
85;['PATIENTS', 'EVER', 'DEVELOP', 'INFECTION', 'ORGANS', 'LUNG', 'ORGANS'];304
86;['ROLE', 'BACTERIA', 'PSEUDOMONAS', 'AERUGINOSA', 'STAPHYLOCOCCUS', 'AUREUS', 'HAEMOPHILUS', 'INFLUENZAE', 'PATHOGENESIS', 'LUNG', 'DISEASE', 'PATIENTS'];304
87;['ROLE', 'FUNGI', 'PATHOGENESIS', 'LUNG', 'DISEASE', 'PATIENTS'];304
88;['ROLE', 'VIRAL', 'INFECTION', 'LUNG', 'DISEASE', 'PATIENTS'];304
89;['EPIDEMIOLOGY', 'PSEUDOMONAS', 'AERUGINOSA', 'PATIENTS', 'SPECIFICALLY', 'PATIENTS', 'SPREAD', 'PSEUDOMONAS', 'AERUGINOSA', 'PATIENTS', 'INDIVIDUALS', 'FAMILY'];304
90;['FACTORS', 'RESPONSIBLE', 'APPEARANCE', 'MUCOID', 'STRAINS', 'PSEUDOMONAS', 'AERUGINOSA', 'PATIENTS'];304
91;['UNUSUAL', 'MANIFESTATIONS', 'LUNG', 'DISEASE', 'EXOCRINE', 'PANCREATIC', 'INSUFFICIENCY'];304
92;['PROGNOSIS', 'SURVIVAL', 'PATIENTS'];304
94;['ANIMAL', 'MODELS', 'AVAILABLE', 'RELEVANT'];304
95;['ABNORMALITIES', 'SKELETAL', 'MUSCLE', 'FUNCTION', 'STRUCTURE', 'FOUND', 'PATIENTS'];304
96;['INCREASED', 'INCIDENCE', 'DENTAL', 'PROBLEMS', 'CARIES', 'PERIODONTAL', 'DISEASE', 'PATIENTS'];304
97;['OXYGEN', 'TRANSPORT', 'RED', 'BLOOD', 'CELLS', 'ABNORMAL', 'PATIENTS'];304
98;['EFFECTS', 'DEVELOPMENT', 'FUNCTION', 'BRAIN', 'CENTRAL', 'NERVOUS', 'SYSTEM'];304
99;['ABNORMALITIES', 'TASTE', 'PATIENTS'];304
100;['INCIDENCE', 'TREATMENT', 'HYPERTROPHIC', 'OSTEOARTHROPATHY', 'PATIENTS'];304
